locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
3442,BETR815,Antwerpen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,11.5,µg/m³,51.2146988167721,4.33220643231032
4921,BETR702,Oost-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm10,30.9,µg/m³,51.0406894198246,3.73497147968531
4894,BETN016,Antwerpen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,o3,10.5,µg/m³,51.2336522065588,5.16397884633176
3165,BETR740,Oost-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,o3,57,µg/m³,51.150136,3.808735
4859,BETR831,Antwerpen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,o3,51,µg/m³,51.3487952923282,4.33970994711987
4891,BETN027,Limburg,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,21.5,µg/m³,51.1337166964098,5.60665921970447
4862,BETN121,Luxembourg,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm10,18.271,µg/m³,49.877128,5.202387
4904,BETR012,Brussels-Capital Region,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm10,10,µg/m³,50.796632,4.358539
4920,BETR001,Brussels-Capital Region,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,12,µg/m³,50.849665,4.33382
4886,BELSZ01,Vlaams-Brabant,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,10.5,µg/m³,50.9145761375644,4.50418332331232
4463,BETN132,Luxembourg,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,6.5,µg/m³,49.719281,5.630398
2943,BETR221,Liege,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,16.191,µg/m³,50.658444,5.627835
4877,BETN085,Luxembourg,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,o3,36.5,µg/m³,50.303208,6.001736
4924,BETN051,Oost-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,o3,42,µg/m³,50.798915604087,3.93029323760176
4860,BETR222,Liege,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm10,22.271,µg/m³,50.613413,5.570223
4555,BETN043,Brussels-Capital Region,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm10,20,µg/m³,50.8835598117798,4.38296325180234
4911,BETR510,Hainaut,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm10,32.771,µg/m³,50.4164333599369,4.52113020813044
4918,BETR721,Oost-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,9,µg/m³,51.0889577240613,3.71611937069602
4912,BETR502,Hainaut,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,22,µg/m³,50.428995,4.458681
2943,BETR221,Liege,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm10,22.271,µg/m³,50.658444,5.627835
4921,BETR702,Oost-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,23.5,µg/m³,51.0406894198246,3.73497147968531
4909,BETR512,Hainaut,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,11,µg/m³,50.4078101998156,4.39589711703924
4884,BETN035,Vlaams-Brabant,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,16,µg/m³,50.9775413785115,4.83761801569861
8135,BELAL03,Oost-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,22.09,µg/m³,51.2539648810663,4.20146039512657
4929,BELAL01,Antwerpen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,24.44,µg/m³,51.236194200299,4.38522368445472
4926,BETN029,West-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,12.22,µg/m³,51.01628,2.582323
3450,BETM802,Antwerpen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,48,µg/m³,51.2609897078635,4.42439900693533
4916,BETR750,Oost-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,25.85,µg/m³,51.196063,3.82292
4871,BETR805,Antwerpen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,26.79,µg/m³,51.2082294722138,4.42155925106527
4899,BETE716,Oost-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,8,µg/m³,51.0669879019187,3.68281301720312
4891,BETN027,Limburg,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,o3,22.5,µg/m³,51.1337166964098,5.60665921970447
4555,BETN043,Brussels-Capital Region,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,22.5,µg/m³,50.8835598117798,4.38296325180234
4922,BETM204,Liege,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,14.257,µg/m³,50.6119227069516,5.61114976281943
4861,BETR822,Antwerpen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,so2,4,µg/m³,51.2642897846451,4.34127999246466
4866,BETB004,Brussels-Capital Region,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,o3,72.5,µg/m³,50.8508105371924,4.34858747427388
4935,BETR891,Antwerpen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,70,µg/m³,51.2558066447111,4.38535982604938
4906,BETE009,Vlaams-Brabant,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,11.5,µg/m³,50.9549166883318,4.43541698492774
3448,BETMEU1,Brussels-Capital Region,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,8.5,µg/m³,50.895101,4.392718
4889,BETN067,Liege,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm10,11.271,µg/m³,50.6122775285323,5.99275271918705
4876,BETR802,Antwerpen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,26.79,µg/m³,51.20951873198,4.43179223079244
4920,BETR001,Brussels-Capital Region,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,so2,2.45,µg/m³,50.849665,4.33382
4919,BETR710,Oost-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,o3,71.5,µg/m³,51.0612776980517,3.77526238964536
4877,BETN085,Luxembourg,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,7.5,µg/m³,50.303208,6.001736
4927,BETN012,West-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,o3,58,µg/m³,51.2545736228328,3.3625358887016
4913,BETR501,Hainaut,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm10,28.771,µg/m³,50.409311,4.452172
8136,BELMN01,West-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm10,24.4,µg/m³,50.7934690447113,3.10964187449867
4926,BETN029,West-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm10,18.9,µg/m³,51.01628,2.582323
4913,BETR501,Hainaut,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,18.5,µg/m³,50.409311,4.452172
4883,BETN040,Vlaams-Brabant,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,9.5,µg/m³,50.7681375136532,4.22519424674671
4862,BETN121,Luxembourg,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,12.5,µg/m³,49.877128,5.202387
4833,BETR002,Brussels-Capital Region,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,so2,3.1,µg/m³,50.825128,4.384719
4885,BETN073,Namur,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,24.894,µg/m³,50.5027163414413,4.98842295409252
4868,BETR820,Antwerpen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,12.5,µg/m³,51.3204167857085,4.44481061898005
4912,BETR502,Hainaut,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,20.059,µg/m³,50.428995,4.458681
4870,BETR811,Antwerpen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,8.93,µg/m³,51.252103,4.491362
4911,BETR510,Hainaut,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,so2,1,µg/m³,50.4164333599369,4.52113020813044
8135,BELAL03,Oost-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm10,29.9,µg/m³,51.2539648810663,4.20146039512657
4881,BETN054,Limburg,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,o3,63.5,µg/m³,50.7117060941316,5.10315860945395
4927,BETN012,West-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,15.98,µg/m³,51.2545736228328,3.3625358887016
4916,BETR750,Oost-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,co,205,µg/m³,51.196063,3.82292
4860,BETR222,Liege,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,14.7405,µg/m³,50.613413,5.570223
4882,BETN046,Limburg,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,19,µg/m³,50.8822988262256,5.61887398523951
8136,BELMN01,West-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,15.51,µg/m³,50.7934690447113,3.10964187449867
4876,BETR802,Antwerpen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,12.5,µg/m³,51.20951873198,4.43179223079244
3126,BETN070,Hainaut,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,co,165,µg/m³,50.4651921568256,3.93971432552384
3165,BETR740,Oost-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,20,µg/m³,51.150136,3.808735
4863,BETB011,Brussels-Capital Region,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,o3,72,µg/m³,50.8580305936746,4.2883363663059
2942,BETH201,Liege,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,18.125,µg/m³,50.624992,5.547464
4932,BETR240,Liege,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,o3,30,µg/m³,50.583614,5.397446
4809,BETR701,Oost-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm10,31.4,µg/m³,51.058332,3.729298
4879,BETR020,Vlaams-Brabant,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm10,115.9,µg/m³,50.9413871149913,4.43672076353407
4901,BETE714,West-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,13,µg/m³,51.2789633039539,3.2486240629412
4914,BETN060,Hainaut,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,so2,1,µg/m³,50.6167184021922,3.45762442718173
4914,BETN060,Hainaut,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,15.7075,µg/m³,50.6167184021922,3.45762442718173
4863,BETB011,Brussels-Capital Region,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,12,µg/m³,50.8580305936746,4.2883363663059
4555,BETN043,Brussels-Capital Region,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,co,245,µg/m³,50.8835598117798,4.38296325180234
4809,BETR701,Oost-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,o3,73.5,µg/m³,51.058332,3.729298
4463,BETN132,Luxembourg,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,12.323,µg/m³,49.719281,5.630398
4903,BETE703,Oost-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,8.5,µg/m³,51.1903170419692,3.68729575635199
4936,BETR834,Antwerpen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,20.68,µg/m³,51.0920000379014,4.38010354488249
4928,BETM705,West-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,o3,54,µg/m³,50.9453592417478,3.15240159047001
3126,BETN070,Hainaut,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,13.5,µg/m³,50.4651921568256,3.93971432552384
4879,BETR020,Vlaams-Brabant,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,no2,11.5,µg/m³,50.9413871149913,4.43672076353407
4864,BETN113,Luxembourg,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm10,24.271,µg/m³,50.0270290177478,5.59301691406644
4917,BETR731,Oost-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm10,31.4,µg/m³,51.1246905122968,3.73950422044193
4809,BETR701,Oost-Vlaanderen,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,23.03,µg/m³,51.058332,3.729298
4555,BETN043,Brussels-Capital Region,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,14.946,µg/m³,50.8835598117798,4.38296325180234
4867,BETN093,Namur,BE,2022-08-19T01:00:00+00:00,2022-08-19T03:00:00+02:00,pm25,16.191,µg/m³,50.274478,5.235169
